,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
872,872,872,11,89,20,6.1,소년 이야기 (Boy Story),0,83,['드라마'],[],청소년,0,0
873,873,873,0,0,58,8.81,"소년, 천국에 가다 (A Boy Who Went To Heaven)",0,114,"['판타지', '드라마', '멜로/로맨스']",['2005.11.11'],12세,2005,11
874,874,874,1,22,14,7.64,소년과 양 (Two Boys and a Sheep),0,18,"['드라마', '멜로/로맨스']",[],,0,0
875,875,875,43,606,67,9.63,소리굽쇠 (Tuning Fork),0,105,"['드라마', '가족']",['2014.10.30'],15세,2014,10
876,876,876,0,0,21,9.57,소명 2 - 모겐족의 월드컵,0,92,['다큐멘터리'],['2010.04.01'],전체,2010,4
877,877,877,0,0,18,10,소명 3 - 히말라야의 슈바이처,0,80,['다큐멘터리'],['2011.04.07'],전체,2011,4
878,878,878,0,0,22,8.68,소명 하늘의 별,0,75,['다큐멘터리'],['2013.03.21'],12세,2013,3
879,879,879,0,0,14,8.93,"소설, 영화와 만나다 (Short! Short! Short! 2013)",0,104,['드라마'],['2013.11.21'],청소년,2013,11
880,880,880,413,5302,86,9.4,소셜포비아 (Socialphobia),0,102,"['스릴러', '드라마']",['2015.03.12'],15세,2015,3
881,881,881,771,5222,1146,6.95,소수의견 (Minority Opinion),1,126,['드라마'],['2015.06.24'],15세,2015,6
882,882,882,58,164,17,7.12,소시민 (Ordinary People),0,117,['드라마'],['2017.01.12'],15세,2017,1
883,883,883,0,0,34,8.18,소와 함께 여행하는 법 (Rolling Home With A Bull),0,108,['드라마'],['2010.11.03'],15세,2010,11
884,884,884,0,0,147,5.98,소원택시 (Secret travel),0,117,"['드라마', '코미디']",['2013.10.24'],청소년,2013,10
885,885,885,0,13,322,9.31,소이연(所以然) (Soeyoun - The Substance of Earth),0,10,['애니메이션'],[],,0,0
886,886,886,0,0,228,9.07,소중한 날의 꿈 (Green Days),1,98,['애니메이션'],['2011.06.23'],전체,2011,6
887,887,887,36,119,14,9.43,소통과 거짓말 (Communication & Lies),0,103,['드라마'],['2017.11.09'],청소년,2017,11
888,888,888,10,64,29,7.24,속사정,0,88,['스릴러'],['2017.05.18'],청소년,2017,5
889,889,889,1337,7780,259,8.44,손님 (The Piper),0,107,"['판타지', '공포']",['2015.07.09'],15세,2015,7
890,890,890,0,0,98,9.36,"손님1 첫번째 이야기 (Guest 1, The first story)",0,81,"['공포', '스릴러']",['2011.11.17'],청소년,2011,11
891,891,891,0,0,125,8.5,손님은 왕이다 (The Customer Is Always Right),0,104,['스릴러'],['2006.02.23'],청소년,2006,2
892,892,892,5,11,21,8.33,송한나 (Hanna Song),0,18,['드라마'],[],12세,0,0
893,893,893,87,1187,368,9.55,쇠파리 (Biting Fly),0,111,"['범죄', '드라마']",['2017.05.25'],15세,2017,5
894,894,894,0,0,138,2.23,수목장,0,100,"['공포', '멜로/로맨스']",['2012.11.15'],청소년,2012,11
895,895,895,0,0,294,9.45,수상한 고객들 (Suspicious Customers),0,124,"['코미디', '드라마']",['2011.04.14'],15세,2011,4
896,896,896,0,0,1485,9.54,수상한 그녀 (Miss Granny),1,124,"['코미디', '드라마']",['2014.01.22'],15세,2014,1
897,897,897,176,445,52,6.65,수상한 미용실,0,84,['멜로/로맨스'],[],청소년,0,0
898,898,898,67,272,44,7.93,수상한 언니들 (Summer of Director Oh),0,98,"['드라마', '코미디']",[],청소년,0,0
899,899,899,54,223,31,9.61,수색역 (Su saek),0,112,"['드라마', '액션']",['2016.03.31'],청소년,2016,3
901,901,901,1436,7092,293,8.89,순수의 시대 (Empire of Lust),0,113,['드라마'],['2015.03.05'],청소년,2015,3
902,902,902,2517,31698,1098,9.3,순정 (UNFORGETTABLE),1,113,['드라마'],['2016.02.24'],12세,2016,2
903,903,903,0,0,535,9.24,순정만화 (Hello Schoolgirl),0,113,"['멜로/로맨스', '코미디']",['2008.11.27'],12세,2008,11
904,904,904,44,665,23,9.48,순종 (Obedience),0,88,"['드라마', '다큐멘터리']",['2016.11.17'],전체,2016,11
905,905,905,31,275,22,8.73,순천 (Splendid but Sad Days),0,64,['다큐멘터리'],['2014.09.04'],전체,2014,9
906,906,906,41,247,47,9.2,숫호구 (Super Virgin),0,80,['코미디'],['2014.08.07'],청소년,2014,8
907,907,907,0,0,70,5.33,쉿! 그녀에겐 비밀이에요 (Secret To Her),0,89,"['드라마', '멜로/로맨스', '코미디']",['2008.09.04'],12세,2008,9
908,908,908,34,484,120,9.5,슈팅걸스 (Shooting Girls),0,121,['가족'],[],12세,0,0
909,909,909,80,587,278,9.5,슈퍼 빼꼼: 스파이 대작전,0,77,"['애니메이션', '코미디']",['2017.05.03'],전체,2017,5
910,910,910,79,708,512,9.43,슈퍼 프렌즈 (Bling),0,82,['애니메이션'],['2016.08.10'],전체,2016,8
911,911,911,0,0,280,8.7,슈퍼맨이었던 사나이 (A Man Who Was Superman),0,102,"['코미디', '드라마']",['2008.01.31'],전체,2008,1
912,912,912,0,0,113,9.57,슈퍼쇼3 3D,0,0,['공연실황'],['2011.02.24'],전체,2011,2
913,913,913,0,0,136,6.51,슈퍼쇼4 3D (SUPER SHOW 4),0,96,['공연실황'],['2013.08.08'],전체,2013,8
914,914,914,0,0,18,8.71,슈퍼스타 (Super Star),0,94,"['코미디', '드라마']",['2012.06.07'],15세,2012,6
915,915,915,0,0,27,8.7,슈퍼스타 감사용 (Mr. Gam's Victory),0,115,"['드라마', '코미디']",['2004.09.17'],전체,2004,9
916,916,916,0,0,18,9.11,슈퍼피쉬 - 끝없는 여정,0,77,['다큐멘터리'],['2013.07.11'],전체,2013,7
917,917,917,1,8,23,9.78,스끼다시 내 인생 (Crispy Chicken),0,23,['드라마'],[],,0,0
918,918,918,2121,27413,816,9.04,스물 (Twenty),1,115,"['코미디', '드라마']",['2015.03.25'],15세,2015,3
919,919,919,27,82,18,5.28,스와핑 : 친구의 아내,0,80,['멜로/로맨스'],['2016.11.15'],청소년,2016,11
920,920,920,41,121,13,7.69,스와핑 하던 날,0,81,['멜로/로맨스'],['2017.01.10'],청소년,2017,1
921,921,921,33,329,209,8.72,스톤 (The Stone),1,109,"['드라마', '액션']",['2014.06.12'],15세,2014,6
922,922,922,25,204,30,8,스톱 (STOP),0,85,['드라마'],['2016.12.08'],15세,2016,12
923,923,923,40,210,21,9.57,스틸 플라워 (Steel flower),0,83,['드라마'],['2016.04.07'],15세,2016,4
924,924,924,0,0,26,9.04,스페어 (Spare),0,98,['액션'],['2008.08.28'],15세,2008,8
925,925,925,237,1700,394,9.48,스플릿 (Split),0,121,['드라마'],['2016.11.09'],15세,2016,11
926,926,926,178,585,62,7.87,스피드 (Speed),0,108,['드라마'],['2015.10.22'],청소년,2015,10
927,927,927,30,172,25,6.68,슬기로운 해법 (Sage Solutions),0,94,['다큐멘터리'],['2014.05.15'],12세,2014,5
928,928,928,962,8508,993,9.07,슬로우 비디오 (Slow Video),1,106,['드라마'],['2014.10.02'],12세,2014,10
929,929,929,0,0,179,7.75,슬픔보다 더 슬픈 이야기 (More Than Blue),0,105,"['멜로/로맨스', '드라마']",['2009.03.11'],15세,2009,3
930,930,930,396,1987,865,9.01,시간위의 집 (House of the Disappeared),1,100,"['미스터리', '스릴러']",['2017.04.05'],15세,2017,4
931,931,931,0,0,47,9.15,시간의 춤 (Dance Of Time),0,92,"['다큐멘터리', '가족']",['2009.12.03'],전체,2009,12
932,932,932,738,7164,377,8.94,시간이탈자 (Time Renegades),1,107,['스릴러'],['2016.04.13'],15세,2016,4
933,933,933,11,171,21,8.86,시나리오 가이드 (Understanding Movies),0,25,['스릴러'],[],,0,0
934,934,934,0,0,545,9.17,시라노; 연애조작단 (Cyrano Agency),1,117,"['멜로/로맨스', '코미디']",['2010.09.16'],12세,2010,9
935,935,935,0,0,23,9.26,"시바, 인생을 던져 (SHIVA, Throw Your Life)",0,98,['드라마'],['2013.12.19'],15세,2013,12
936,936,936,156,383,52,6.87,"시발, 놈: 인류의 시작 (SUPER ORIGIN)",0,71,"['코미디', '드라마']",['2016.08.18'],15세,2016,8
937,937,937,0,0,112,9.71,시선 1318 (If You Were Me 4),0,122,['드라마'],['2009.06.11'],12세,2009,6
938,938,938,49,392,25,9.36,시인의 사랑 (The Poet and The Boy),0,109,['드라마'],['2017.09.14'],15세,2017,9
939,939,939,0,0,144,8.55,시체가 돌아왔다 (Over My Dead Body),1,110,"['범죄', '코미디']",['2012.03.29'],15세,2012,3
940,940,940,0,0,658,8.97,식객 (Le Grand Chef),1,113,"['드라마', '코미디']",['2007.11.01'],12세,2007,11
941,941,941,0,0,270,8.59,식객: 김치전쟁,0,119,['드라마'],['2010.01.28'],전체,2010,1
942,942,942,7734,57194,4184,8.03,신과함께-죄와 벌 (Along With the Gods: The Two Worlds),1,139,"['판타지', '드라마']",['2017.12.20'],12세,2017,12
943,943,943,0,0,243,8.9,신기전 (神機箭),1,134,"['드라마', '액션', '전쟁']",['2008.09.04'],15세,2008,9
944,944,944,0,0,584,8.99,신세계 (New World),1,134,"['범죄', '드라마']",['2013.02.21'],청소년,2013,2
945,945,945,0,0,13,7.69,신암행어사 (新暗行御史),0,86,"['애니메이션', 'SF', '모험', '판타지']",['2004.11.26'],15세,2004,11
946,946,946,15,45,25,7.32,신어우동,0,93,['멜로/로맨스'],[],청소년,0,0
947,947,947,27,124,22,8.95,신의 선물 (Godsend),0,95,[''],['2014.04.10'],청소년,2014,4
948,948,948,2,21,16,9.19,신의 아이들 (Children Of God),0,90,['다큐멘터리'],[],,0,0
949,949,949,365,2407,494,8.82,신의 한 수 (The Divine Move),1,118,"['범죄', '액션']",['2014.07.03'],청소년,2014,7
950,950,950,0,0,1537,8.82,신이 보낸 사람 (APOSTLE),1,112,['드라마'],['2014.02.13'],15세,2014,2
951,951,951,169,659,78,7.82,신촌좀비만화 (MAD SAD BAD),0,116,[''],['2014.05.15'],청소년,2014,5
952,952,952,29,1309,51,9.82,신화 라이브 3D 더 레전드 컨티뉴스,0,90,['공연실황'],['2014.12.11'],전체,2014,12
953,953,953,0,0,29,7.68,실미도 (Silmido),0,135,"['전쟁', '스릴러', '드라마', '액션']",['2003.12.24'],15세,2003,12
954,954,954,108,386,43,6.91,실종2,0,89,['스릴러'],['2017.11.30'],청소년,2017,11
955,955,955,0,0,150,9.41,심야의 FM (Midnight F.M.),0,106,"['스릴러', '범죄']",['2010.10.14'],청소년,2010,10
956,956,956,0,0,13,8.54,심장이 뛰네 (My Heart Beats),0,105,['드라마'],['2011.07.28'],청소년,2011,7
957,957,957,0,0,280,9.12,심장이 뛴다 (Heartbeat),0,114,['드라마'],['2011.01.05'],15세,2011,1
958,958,958,63,119,24,5.62,심청야사,0,94,"['멜로/로맨스', '코미디']",[],청소년,0,0
959,959,959,85,239,17,8.35,십이야 : 깊고 붉은 열두 개의 밤 Chapter 1 (十二夜),0,73,"['공포', '스릴러']",['2015.07.22'],15세,2015,7
960,960,960,916,3838,348,8.57,싱글라이더 (A single rider),0,97,['드라마'],['2017.02.22'],15세,2017,2
961,961,961,0,0,151,8.93,싸이보그 그녀 (僕の彼女はサイボ-グ),0,103,"['멜로/로맨스', '코미디', 'SF']",['2009.05.14'],12세,2009,5
962,962,962,0,0,992,7.73,싸이보그지만 괜찮아 (I'm A Cyborg But That's OK),0,105,"['드라마', '멜로/로맨스', '코미디']",['2006.12.07'],12세,2006,12
963,963,963,0,0,380,9.13,쌍화점,1,133,['드라마'],['2008.12.30'],청소년,2008,12
964,964,964,0,0,514,9,써니 (Sunny),1,124,"['코미디', '드라마']","['2011.07.28', '2011.05.04']",15세,2011,7
965,965,965,0,0,180,5.19,썬데이 서울 (Sunday Seoul),0,95,"['코미디', 'SF', '판타지']",['2006.02.09'],15세,2006,2
966,966,966,29,71,23,5.48,"썸, 은밀한 이야기",0,80,"['드라마', '코미디']",[],청소년,0,0
967,967,967,24436,12076,7982,2.95,쎄시봉 (C'est Si Bon),0,122,"['멜로/로맨스', '드라마']",['2015.02.05'],15세,2015,2
968,968,968,0,0,110,8.03,쏜다 (Big Bang),0,118,"['코미디', '액션', '드라마', '모험']",['2007.03.14'],15세,2007,3
969,969,969,890,2529,248,7.29,쓰리 썸머 나잇 (Three Summer Night),0,106,['코미디'],['2015.07.15'],청소년,2015,7
970,970,970,16,33,20,9.55,"씨, 베토벤 (See, Beethoven)",0,90,['드라마'],['2014.03.27'],15세,2014,3
971,971,971,3963,21671,441,7.9,아가씨 (The Handmaiden),1,144,"['스릴러', '드라마']",['2016.06.01'],청소년,2016,6
972,972,972,70,440,21,8.71,아기와 나 (Baby Beside Me),0,113,['드라마'],['2017.11.23'],15세,2017,11
973,973,973,0,0,128,7.98,아내가 결혼했다 (My Wife Got Married),1,119,"['멜로/로맨스', '드라마']",['2008.10.23'],청소년,2008,10
974,974,974,14,47,17,7,아내를 바꾸다,0,87,['멜로/로맨스'],[],청소년,0,0
975,975,975,25,97,37,7.59,아내의 동창회,0,86,['멜로/로맨스'],[],청소년,0,0
976,976,976,58,207,42,5.33,아내의 사정,0,79,['멜로/로맨스'],[],청소년,0,0
977,977,977,0,0,13,7.85,아내의 애인을 만나다 (Driving With My Wife's Lover),0,90,"['코미디', '드라마']",['2007.04.26'],청소년,2007,4
978,978,978,19,57,23,7.87,아내의동영상,0,76,['멜로/로맨스'],[],청소년,0,0
979,979,979,0,0,62,8.72,아는 여자 (Someone Special),0,107,['코미디'],['2004.06.25'],15세,2004,6
980,980,980,23,420,26,9.58,아들에게 가는 길 (Agagil (Journey to my boy)),0,100,"['드라마', '가족']",['2017.11.30'],전체,2017,11
